단어/문장,한글해석,한글발음
include,포함하다,[include]
finally,"마침내, 결국",[finally]
describe,묘사하다,[describe]
since,이래로,[since]
level,"(가치·정도 등의) 수준, 위치, (수평)면 수평의, 평평한",[level]
history,역사,[히스토리]
sense,"감각, 의미",[sense]
allow,허용하다,[allow]
anything,무엇이든,[anything]
public,공공의,[public]
against,에 맞서,[against]
sometimes,때때로,[sometimes]
control,통제하다,[control]
probably,아마도,[probably]
situation,"상황, 위치",[situation]
quite,"꽤, 상당히",[quite]
result,결과,[result]
else,그 밖에,[else]
process,과정,[process]
mind,"마음, 정신 유의하다, 주의하다, 신경 쓰다, 걱정하다",[마인드]
everyone,everyone,[everyone]
develop,"개발하다, 발전하다",[develop]
according,according,[according]
effect,"효과, 영향",[effect]
second,"두 번째의, 초",[second]
everything,모든 것,[everything]
four,"네, 4",[four]
cause,"일으키다, 초래하다 원인, 이유",[cause]
nothing,아무것도 않다,[nothing]
difficult,어려운,[difficult]
five,"다섯, 5",[five]
almost,거의,[almost]
phone,phone,[phone]
type,유형,[type]
although,비록 이지만,[although]
society,사회,[society]
language,언어,[랭귀지]
technology,기술,[technology]
moment,순간,[moment]
add,더하다,[add]
OK,OK,[OK]
relationship,"관계, 관련성",[relationship]
community,공동체,[community]
already,이미,[already]
view,"보다, 견해",[view]
especially,특히,[especially]
consider,고려하다,[consider]
perhaps,아마도,[perhaps]
certain,"특정한, 확실한",[certain]
form,"형태, 형성하다",[form]
billion,10억,[billion]
least,최소의,[least]
century,"세기,",[century]
